samples,cell_type2,cell_type1
GSM1377859,zygote,zygote
GSM1377860,zygote,zygote
GSM1377861,zygote,zygote
GSM1377862,zygote,zygote
GSM1377863,zygote,zygote
GSM1377864,zygote,zygote
GSM1377865,zygote,zygote
GSM1377866,zygote,zygote
GSM1377867,zygote,zygote
GSM1377868,2cell,2cell
GSM1377869,2cell,2cell
GSM1377870,2cell,2cell
GSM1377871,2cell,2cell
GSM1377872,2cell,2cell
GSM1377873,2cell,2cell
GSM1377874,2cell,2cell
GSM1377875,2cell,2cell
GSM1377876,2cell,2cell
GSM1377877,2cell,2cell
GSM1377878,2cell,2cell
GSM1377879,2cell,2cell
GSM1377880,2cell,2cell
GSM1377881,2cell,2cell
GSM1377882,2cell,2cell
GSM1377883,2cell,2cell
GSM1377884,2cell,2cell
GSM1377885,2cell,2cell
GSM1377886,2cell,2cell
GSM1377887,2cell,2cell
GSM1377888,4cell,4cell
GSM1377889,4cell,4cell
GSM1377890,4cell,4cell
GSM1377891,4cell,4cell
GSM1377892,4cell,4cell
GSM1377893,4cell,4cell
GSM1377894,4cell,4cell
GSM1377895,4cell,4cell
GSM1377896,4cell,4cell
GSM1377897,4cell,4cell
GSM1377898,4cell,4cell
GSM1377899,4cell,4cell
GSM1377900,4cell,4cell
GSM1377901,4cell,4cell
GSM1377902,4cell,4cell
GSM1377903,4cell,4cell
GSM1377904,4cell,4cell
GSM1377905,4cell,4cell
GSM1377906,4cell,4cell
GSM1377907,4cell,4cell
GSM1377908,ICM,blast
GSM1377909,ICM,blast
GSM1377910,ICM,blast
GSM1377911,ICM,blast
GSM1377912,TE,blast
GSM1377913,TE,blast
GSM1377914,TE,blast
